"","Dates","Value","Type","Unit","Measure"
"397",2017-03-14 06:04:09,84457,"Weight",-3,84.457
"398",2017-03-14 06:04:09,76443,"FatFree",-3,76.443
"399",2017-03-14 06:04:09,9489,"FatRatio",-3,9.489
"400",2017-03-14 06:04:09,8014,"FatMass",-3,8.014
"401",2017-03-13 06:14:19,85532,"Weight",-3,85.532
"402",2017-03-13 06:14:19,77228,"FatFree",-3,77.228
"403",2017-03-13 06:14:19,9709,"FatRatio",-3,9.709
"404",2017-03-13 06:14:19,8304,"FatMass",-3,8.304
"405",2017-03-12 06:13:31,85112,"Weight",-3,85.112
"406",2017-03-12 06:13:31,77316,"FatFree",-3,77.316
"407",2017-03-12 06:13:31,9160,"FatRatio",-3,9.16
"408",2017-03-12 06:13:31,7796,"FatMass",-3,7.796
"409",2017-03-11 04:59:50,85012,"Weight",-3,85.012
"410",2017-03-11 04:59:50,76967,"FatFree",-3,76.967
"411",2017-03-11 04:59:50,9463,"FatRatio",-3,9.463
"412",2017-03-11 04:59:50,8045,"FatMass",-3,8.045
"413",2017-03-10 06:36:09,84426,"Weight",-3,84.426
"414",2017-03-10 06:36:09,76671,"FatFree",-3,76.671
"415",2017-03-10 06:36:09,9186,"FatRatio",-3,9.186
"416",2017-03-10 06:36:09,7755,"FatMass",-3,7.755
"417",2017-03-09 06:18:24,84204,"Weight",-3,84.204
"418",2017-03-09 06:18:24,77332,"FatFree",-3,77.332
"419",2017-03-09 06:18:24,8162,"FatRatio",-3,8.162
"420",2017-03-09 06:18:24,6872,"FatMass",-3,6.872
"421",2017-03-08 05:48:56,84209,"Weight",-3,84.209
"422",2017-03-08 05:48:56,76657,"FatFree",-3,76.657
"423",2017-03-08 05:48:56,8968,"FatRatio",-3,8.968
"424",2017-03-08 05:48:56,7552,"FatMass",-3,7.552
"425",2017-03-07 06:18:04,84795,"Weight",-3,84.795
"426",2017-03-07 06:18:04,77645,"FatFree",-3,77.645
"427",2017-03-07 06:18:04,8432,"FatRatio",-3,8.432
"428",2017-03-07 06:18:04,7150,"FatMass",-3,7.15
"429",2017-03-06 06:08:12,84137,"Weight",-3,84.137
"430",2017-03-06 06:08:12,75944,"FatFree",-3,75.944
"431",2017-03-06 06:08:12,9738,"FatRatio",-3,9.738
"432",2017-03-06 06:08:12,8193,"FatMass",-3,8.193
"433",2017-03-05 06:32:26,84218,"Weight",-3,84.218
"434",2017-03-05 06:32:26,76371,"FatFree",-3,76.371
