record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854979916","626424778","159494293","299.15","59.799999999999955","1.754","100","126","61","20","0.0","59.799999999999955","1.754","0","0","0","0.0",
"854979917","626425129","159494527","302.68","60.0","2.473","100","125","61","20","0.0","60.0","2.473","0","0","0","0.0",
"854979918","626425480","159494759","306.21","59.799999999999955","2.995","100","125","61","20","0.0","59.799999999999955","2.995","0","0","0","0.0",
"854979919","626425827","159494991","309.71","60.0","3.238","100","124","89","20","0.5","60.0","3.238","0","0","0","0.0",
"854979920","626426162","159495225","313.11","60.0","3.359","100","123","90","20","0.0","60.0","3.359","0","0","0","0.0",
"854979921","626426493","159495435","316.42","60.0","3.359","100","123","90","20","0.5","60.0","3.359","0","0","0","0.0",
"854979922","626426863","159495617","320.02","59.799999999999955","3.284","100","122","90","20","0.5","59.799999999999955","3.284","0","0","0","0.0",
"854979923","626427202","159495789","323.33","59.799999999999955","3.284","100","121","90","20","0.0","59.799999999999955","3.284","0","0","0","0.0",
"854979924","626427545","159495982","326.71","59.799999999999955","3.34","100","119","90","20","0.0","59.799999999999955","3.34","0","0","0","0.0",
"854979925","626427880","159496190","330.05","59.799999999999955","3.35","100","120","90","20","0.0","59.799999999999955","3.35","0","0","0","0.0",
"854979926","626428222","159496401","333.46","59.799999999999955","3.35","100","123","90","20","0.0","59.799999999999955","3.35","0","0","0","0.0",
"854979927","626428555","159496597","336.76","59.799999999999955","3.34","100","122","91","20","0.0","59.799999999999955","3.34","0","0","0","0.0",
"854979928","626428931","159496782","340.42","59.60000000000002","3.331","100","122","91","20","0.0","59.60000000000002","3.331","0","0","0","0.0",
"854979929","626429291","159496951","343.91","59.60000000000002","3.331","100","125","90","20","0.0","59.60000000000002","3.331","0","0","0","0.0",
"854979930","626429627","159497160","347.27","59.39999999999998","3.368","100","126","90","20","0.0","59.39999999999998","3.368","0","0","0","0.0",
"854979931","626429959","159497367","350.58","59.200000000000045","3.368","100","125","90","20","0.0","59.200000000000045","3.368","0","0","0","0.0",
"854979932","626430292","159497572","353.9","59.200000000000045","3.368","100","126","90","20","0.0","59.200000000000045","3.368","0","0","0","0.0",
"854979933","626430613","159497784","357.12","59.200000000000045","3.35","100","128","90","20","0.0","59.200000000000045","3.35","0","0","0","0.0",
"854979934","626430934","159497981","360.32","59.200000000000045","3.34","100","128","90","20","0.0","59.200000000000045","3.34","0","0","0","0.0",
"854979935","626431245","159498167","363.41","59.200000000000045","3.312","100","128","89","20","0.0","59.200000000000045","3.312","0","0","0","0.0",
"854979936","626431578","159498337","366.66","59.200000000000045","3.303","100","127","89","20","0.0","59.200000000000045","3.303","0","0","0","0.0",
"854979937","626431886","159498517","369.71","59.200000000000045","3.266","100","125","89","20","0.0","59.200000000000045","3.266","0","0","0","0.0",
"854979938","626432206","159498684","372.84","59.200000000000045","3.266","100","127","89","20","0.0","59.200000000000045","3.266","0","0","0","0.0",
"854979939","626432507","159498856","375.81","59.200000000000045","3.2","100","127","89","20","0.0","59.200000000000045","3.2","0","0","0","0.0",
"854979940","626432825","159499022","378.92","59.39999999999998","3.2","100","129","89","20","0.0","59.39999999999998","3.2","0","0","0","0.0",
"854979941","626433157","159499184","382.16","59.39999999999998","3.154","100","129","89","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979942","626433475","159499351","385.27","59.39999999999998","3.154","100","131","89","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979943","626433798","159499512","388.42","59.39999999999998","3.154","100","133","89","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979944","626434112","159499665","391.48","59.39999999999998","3.154","100","133","89","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979945","626434420","159499837","394.51","59.39999999999998","3.154","100","135","89","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979946","626434719","159500036","397.52","59.39999999999998","3.154","100","134","90","20","0.0","59.39999999999998","3.154","0","0","0","0.0",
"854979947","626435021","159500228","400.54","59.39999999999998","3.144","100","140","90","20","0.0","59.39999999999998","3.144","0","0","0","0.0",
"854979948","626435333","159500409","403.63","59.200000000000045","3.144","100","144","90","19","0.0","59.200000000000045","3.144","0","0","0","0.0",
"854979949","626435643","159500580","406.67","59.200000000000045","3.144","100","149","90","19","0.0","59.200000000000045","3.144","0","0","0","0.0",
"854979950","626435851","159500691","408.72","59.0","3.144","100","150","90","19","0.0","59.0","3.144","0","0","0","0.0",
"854979951","626436130","159500868","411.49","58.799999999999955","3.144","100","149","90","19","0.0","58.799999999999955","3.144","0","0","0","0.0",
"854979952","626436413","159501073","414.38","58.60000000000002","3.126","100","148","90","19","0.0","58.60000000000002","3.126","0","0","0","0.0",
"854979953","626436718","159501292","417.47","58.60000000000002","3.116","100","149","90","19","0.0","58.60000000000002","3.116","0","0","0","0.0",
"854979954","626437049","159501456","420.7","58.39999999999998","3.107","100","147","90","19","0.0","58.39999999999998","3.107","0","0","0","0.0",
"854979955","626437391","159501621","424.03","58.39999999999998","3.107","100","145","89","19","0.0","58.39999999999998","3.107","0","0","0","0.0",
"854979956","626437704","159501808","427.13","58.39999999999998","3.116","100","142","89","19","0.0","58.39999999999998","3.116","0","0","0","0.0",
"854979957","626438007","159502011","430.18","58.39999999999998","3.116","100","142","89","19","0.0","58.39999999999998","3.116","0","0","0","0.0",
"854979958","626438324","159502170","433.27","58.39999999999998","3.116","100","142","89","19","0.0","58.39999999999998","3.116","0","0","0","0.0",
"854979959","626438647","159502337","436.43","58.200000000000045","3.116","100","142","89","19","0.0","58.200000000000045","3.116","0","0","0","0.0",
"854979960","626438947","159502504","439.38","58.200000000000045","3.116","100","140","88","19","0.0","58.200000000000045","3.116","0","0","0","0.0",
"854979961","626439246","159502688","442.36","58.200000000000045","3.116","100","141","88","19","0.0","58.200000000000045","3.116","0","0","0","0.0",
"854979962","626439489","159502878","444.87","58.200000000000045","3.098","100","140","89","19","0.0","58.200000000000045","3.098","0","0","0","0.0",
"854979963","626439759","159503068","447.61","58.200000000000045","3.088","100","139","89","19","0.0","58.200000000000045","3.088","0","0","0","0.0",
"854979964","626440047","159503250","450.49","58.0","3.032","100","137","89","19","0.0","58.0","3.032","0","0","0","0.0",
"854979965","626440343","159503412","453.4","58.0","3.004","100","136","89","19","0.0","58.0","3.004","0","0","0","0.0",
"854979966","626440655","159503553","456.42","58.0","2.995","100","135","89","19","0.0","58.0","2.995","0","0","0","0.0",
"854979967","626440974","159503701","459.51","58.200000000000045","2.995","100","134","89","19","0.0","58.200000000000045","2.995","0","0","0","0.0",
"854979968","626441271","159503868","462.44","58.200000000000045","2.995","100","133","89","19","0.0","58.200000000000045","2.995","0","0","0","0.0",
"854979969","626441563","159504047","465.35","58.0","2.995","100","135","90","19","0.0","58.0","2.995","0","0","0","0.0",
"854979970","626441842","159504230","468.15","58.0","2.986","100","136","90","19","0.0","58.0","2.986","0","0","0","0.0",
"854979971","626442136","159504411","471.08","57.799999999999955","2.986","100","138","89","19","0.0","57.799999999999955","2.986","0","0","0","0.0",
"854979972","626442431","159504596","474.03","58.0","2.976","100","137","88","19","0.0","58.0","2.976","0","0","0","0.0",
"854979973","626442732","159504796","477.05","57.799999999999955","2.976","100","138","88","19","0.0","57.799999999999955","2.976","0","0","0","0.0",
"854979974","626443022","159504988","479.97","58.0","2.976","100","139","89","19","0.0","58.0","2.976","0","0","0","0.0",
"854979975","626443315","159505186","482.92","57.799999999999955","2.976","100","140","89","19","0.0","57.799999999999955","2.976","0","0","0","0.0",
"854979976","626443608","159505394","485.9","57.799999999999955","2.967","100","140","89","19","0.0","57.799999999999955","2.967","0","0","0","0.0",
"854979977","626443912","159505598","488.96","57.60000000000002","2.967","100","140","89","19","0.0","57.60000000000002","2.967","0","0","0","0.0",
"854979978","626444223","159505773","492.03","57.799999999999955","2.967","100","140","89","19","0.0","57.799999999999955","2.967","0","0","0","0.0",
"854979979","626444534","159505947","495.09","57.60000000000002","2.967","100","140","90","19","0.0","57.60000000000002","2.967","0","0","0","0.0",
"854979980","626444842","159506110","498.11","57.799999999999955","2.967","100","141","90","19","0.0","57.799999999999955","2.967","0","0","0","0.0",
"854979981","626445163","159506293","501.29","57.60000000000002","2.976","100","141","90","19","0.0","57.60000000000002","2.976","0","0","0","0.0",
"854979982","626445470","159506478","504.33","57.60000000000002","2.976","100","142","89","19","0.0","57.60000000000002","2.976","0","0","0","0.0",
"854979983","626445758","159506666","507.22","57.39999999999998","2.986","100","142","89","19","0.0","57.39999999999998","2.986","0","0","0","0.0",
"854979984","626446048","159506842","510.1","57.60000000000002","2.986","100","142","90","19","0.0","57.60000000000002","2.986","0","0","0","0.0",
"854979985","626446356","159507019","513.15","57.200000000000045","2.986","100","141","90","19","0.0","57.200000000000045","2.986","0","0","0","0.0",
"854979986","626446680","159507194","516.33","57.39999999999998","2.976","100","141","90","19","0.0","57.39999999999998","2.976","0","0","0","0.0",
"854979987","626447007","159507371","519.54","57.200000000000045","2.976","100","140","90","19","0.0","57.200000000000045","2.976","0","0","0","0.0",
"854979988","626447323","159507536","522.63","57.200000000000045","2.986","100","140","90","19","0.0","57.200000000000045","2.986","0","0","0","0.0",
"854979989","626447624","159507684","525.57","57.0","2.995","100","140","89","18","0.0","57.0","2.995","0","0","0","0.0",
"854979990","626447916","159507846","528.44","57.200000000000045","2.995","100","140","89","18","0.0","57.200000000000045","2.995","0","0","0","0.0",
"854979991","626448198","159508013","531.24","57.0","2.995","100","140","89","18","0.0","57.0","2.995","0","0","0","0.0",
"854979992","626448458","159508201","533.87","57.0","2.986","100","141","89","18","0.0","57.0","2.986","0","0","0","0.0",
"854979993","626448718","159508420","536.6","57.0","2.986","100","141","88","18","0.0","57.0","2.986","0","0","0","0.0",
"854979994","626449003","159508643","539.54","57.0","2.967","100","141","88","18","0.0","57.0","2.967","0","0","0","0.0",
"854979995","626449259","159508905","542.36","57.0","2.967","100","141","88","18","0.0","57.0","2.967","0","0","0","0.0",
"854979996","626449519","159509206","545.32","57.0","2.958","100","142","88","18","0.0","57.0","2.958","0","0","0","0.0",
"854979997","626449754","159509554","548.27","57.0","2.958","100","142","90","18","0.0","57.0","2.958","0","0","0","0.0",
"854979998","626450010","159509887","551.31","57.0","2.958","100","142","90","18","0.0","57.0","2.958","0","0","0","0.0",
"854979999","626450284","159510234","554.54","57.0","2.958","100","141","90","18","0.0","57.0","2.958","0","0","0","0.0",
"854980000","626450532","159510603","557.66","57.0","2.958","100","141","90","18","0.0","57.0","2.958","0","0","0","0.0",
"854980001","626450740","159510985","560.58","57.0","2.967","100","141","90","18","0.0","57.0","2.967","0","0","0","0.0",
"854980002","626450942","159511393","563.56","57.0","2.967","100","140","90","18","0.0","57.0","2.967","0","0","0","0.0",
"854980003","626451158","159511770","566.51","57.0","2.967","100","140","90","18","0.0","57.0","2.967","0","0","0","0.0",
"854980004","626451397","159512142","569.58","57.0","2.967","100","140","89","18","0.0","57.0","2.967","0","0","0","0.0",
"854980005","626451623","159512517","572.58","57.0","2.967","100","140","89","18","0.0","57.0","2.967","0","0","0","0.0",
"854980006","626451842","159512907","575.59","57.200000000000045","2.967","100","140","89","18","0.0","57.200000000000045","2.967","0","0","0","0.0",
"854980007","626452026","159513280","578.32","57.0","2.967","100","140","89","18","0.0","57.0","2.967","0","0","0","0.0",
"854980008","626452219","159513667","581.17","57.0","2.967","100","141","89","18","0.0","57.0","2.967","0","0","0","0.0",
"854980009","626452380","159514056","583.83","57.0","2.958","100","142","89","18","0.0","57.0","2.958","0","0","0","0.0",
"854980010","626452654","159514316","586.72","57.0","2.958","100","142","89","18","0.0","57.0","2.958","0","0","0","0.0",
"854980011","626452820","159514721","589.49","57.0","2.948","100","143","89","18","0.0","57.0","2.948","0","0","0","0.0",
"854980012","626452977","159515162","592.39","57.0","2.948","100","143","89","18","0.0","57.0","2.948","0","0","0","0.0",
"854980013","626453130","159515595","595.23","57.200000000000045","2.939","100","144","89","18","0.0","57.200000000000045","2.939","0","0","0","0.0",
